TipoContrato,OperadoraSigla,TipoPM,TipoCusto,CustoUnitario
Privado,CONSTRUFAM-SP,RHN,Total,8427.60
Privado,COHIDRO,RHN,Total,30126.24
Privado,CONSTRUFAM-LoteB,RHN,Total,20288.03
Privado,CONSTRUFAM-LoteC,RHN,Total,20353.70
Privado,EPAGRI-SC,RHN,Total,10887.54
Privado,UFC-Cuiaba,RHN,Total,21849.09
Privado,UFC-Altamira ,RHN,Total,31048.05
CPRM,CPRM-SUREG-MA,RHN,Total,43693.78
CPRM,CPRM-SUREG-PV,RHN,Total,24937.74
CPRM,CPRM-SUREG-BE,RHN,Total,28281.79
CPRM,CPRM-SUREG-RE,RHN,Total,30100.08
CPRM,CPRM-SUREG-FO,RHN,Total,18191.15
CPRM,CPRM-SUREG-SA,RHN,Total,18234.08
CPRM,CPRM-SUREG-SP,RHN,Total,17245.56
CPRM,CPRM-SUREG-PA,RHN,Total,15731.77
CPRM,CPRM-SUREG-BH,RHN,Total,14700.94
CPRM,CPRM-SUREG-GO,RHN,Total,14556.17
CPRM,CPRM-SUREG-TE,RHN,Total,31480.98
CPRM,CPRM,RHN,Total,25310.50
CPRM,CPRM-SUREG-MA,RHNR,Total,26596.97
CPRM,CPRM-SUREG-PV,RHNR,Total,42568.31
CPRM,CPRM-SUREG-BE,RHNR,Total,37207.06
CPRM,CPRM-SUREG-RE,RHNR,Total,37523.22
CPRM,CPRM-SUREG-FO,RHNR,Total,65251.80
CPRM,CPRM-SUREG-SA,RHNR,Total,17487.41
CPRM,CPRM-SUREG-SP,RHNR,Total,48629.57
CPRM,CPRM-SUREG-PA,RHNR,Total,14053.43
CPRM,CPRM-SUREG-BH,RHNR,Total,16898.90
CPRM,CPRM-SUREG-GO,RHNR,Total,51614.24
CPRM,CPRM-SUREG-TE,RHNR,Total,42011.82
CPRM,CPRM,RHNR,Total,29744.10
Privado,CONSTRUFAM-SP,RHN,MaterialConsumo,3361.41
Privado,COHIDRO,RHN,MaterialConsumo,10665.11
Privado,CONSTRUFAM-LoteB,RHN,MaterialConsumo,8708.46
Privado,CONSTRUFAM-LoteC,RHN,MaterialConsumo,8602.09
Privado,EPAGRI-SC,RHN,MaterialConsumo,4257.07
Privado,UFC-Cuiaba,RHN,MaterialConsumo,9684.90
Privado,UFC-Altamira ,RHN,MaterialConsumo,14054.56
CPRM,CPRM-SUREG-MA,RHN,MaterialConsumo,16049.26
CPRM,CPRM-SUREG-PV,RHN,MaterialConsumo,9794.64
CPRM,CPRM-SUREG-BE,RHN,MaterialConsumo,10320.40
CPRM,CPRM-SUREG-RE,RHN,MaterialConsumo,8007.26
CPRM,CPRM-SUREG-FO,RHN,MaterialConsumo,6534.18
CPRM,CPRM-SUREG-SA,RHN,MaterialConsumo,6316.57
CPRM,CPRM-SUREG-SP,RHN,MaterialConsumo,6207.75
CPRM,CPRM-SUREG-PA,RHN,MaterialConsumo,5658.94
CPRM,CPRM-SUREG-BH,RHN,MaterialConsumo,5426.08
CPRM,CPRM-SUREG-GO,RHN,MaterialConsumo,5207.44
CPRM,CPRM-SUREG-TE,RHN,MaterialConsumo,12185.83
CPRM,CPRM,RHN,MaterialConsumo,8893.84
CPRM,CPRM-SUREG-MA,RHNR,MaterialConsumo,6925.78
CPRM,CPRM-SUREG-PV,RHNR,MaterialConsumo,15912.79
CPRM,CPRM-SUREG-BE,RHNR,MaterialConsumo,15109.62
CPRM,CPRM-SUREG-RE,RHNR,MaterialConsumo,13961.29
CPRM,CPRM-SUREG-FO,RHNR,MaterialConsumo,22982.96
CPRM,CPRM-SUREG-SA,RHNR,MaterialConsumo,6055.92
CPRM,CPRM-SUREG-SP,RHNR,MaterialConsumo,18489.49
CPRM,CPRM-SUREG-PA,RHNR,MaterialConsumo,5881.96
CPRM,CPRM-SUREG-BH,RHNR,MaterialConsumo,5708.01
CPRM,CPRM-SUREG-GO,RHNR,MaterialConsumo,17867.54
CPRM,CPRM-SUREG-TE,RHNR,MaterialConsumo,14717.86
CPRM,CPRM,RHNR,MaterialConsumo,10787.99
Privado,CONSTRUFAM-SP,RHN,PagamentoObservador,2422.43
Privado,COHIDRO,RHN,PagamentoObservador,3083.70
Privado,CONSTRUFAM-LoteB,RHN,PagamentoObservador,3626.44
Privado,CONSTRUFAM-LoteC,RHN,PagamentoObservador,3136.61
Privado,EPAGRI-SC,RHN,PagamentoObservador,2496.75
Privado,UFC-Cuiaba,RHN,PagamentoObservador,2012.16
Privado,UFC-Altamira ,RHN,PagamentoObservador,2186.06
CPRM,CPRM-SUREG-MA,RHN,PagamentoObservador,2608.98
CPRM,CPRM-SUREG-PV,RHN,PagamentoObservador,1919.20
CPRM,CPRM-SUREG-BE,RHN,PagamentoObservador,3022.38
CPRM,CPRM-SUREG-RE,RHN,PagamentoObservador,10441.15
CPRM,CPRM-SUREG-FO,RHN,PagamentoObservador,2074.44
CPRM,CPRM-SUREG-SA,RHN,PagamentoObservador,1954.02
CPRM,CPRM-SUREG-SP,RHN,PagamentoObservador,1515.15
CPRM,CPRM-SUREG-PA,RHN,PagamentoObservador,1718.81
CPRM,CPRM-SUREG-BH,RHN,PagamentoObservador,1927.80
CPRM,CPRM-SUREG-GO,RHN,PagamentoObservador,1345.06
CPRM,CPRM-SUREG-TE,RHN,PagamentoObservador,1679.47
CPRM,CPRM,RHN,PagamentoObservador,2963.75
CPRM,CPRM-SUREG-MA,RHNR,PagamentoObservador,7195.02
CPRM,CPRM-SUREG-PV,RHNR,PagamentoObservador,9560.58
CPRM,CPRM-SUREG-BE,RHNR,PagamentoObservador,1640.00
CPRM,CPRM-SUREG-RE,RHNR,PagamentoObservador,3465.12
CPRM,CPRM-SUREG-FO,RHNR,PagamentoObservador,7531.18
CPRM,CPRM-SUREG-SA,RHNR,PagamentoObservador,1890.41
