RegistroID,Importado,Temporario,Removido,ImportadoRepetido,Codigo,Sigla,Nome,DataIns,DataAlt,RespAlt
19583,0,0,0,0,1,ANA,Agência Nacional de Águas,10/07/2020,,6
19584,0,0,0,0,2,DNOS,Departamento Nacional de Obras de Saneamento,10/07/2020,,6
19585,0,0,0,0,3,DNIT,Departamento Nacional de Infra-Estrutura de Transportes,10/07/2020,,6
19586,0,0,0,0,4,CODEVASF,Cia de Desenvolvimento dos Vales do São Francisco e Parnaiba,10/07/2020,,6
19587,0,0,0,0,5,INMET,Instituto Nacional de Meteorologia,10/07/2020,,6
19588,0,0,0,0,6,CESP,Companhia Energética de São Paulo-CESP,10/07/2020,,6
19589,0,0,0,0,7,CEEE,Companhia Estadual de Geração e Transmissão de Energia Elétrica-CEEE,10/07/2020,,6
19590,0,0,0,0,8,LIGHT,Light Energia S.A,10/07/2020,,6
19591,0,0,0,0,9,FUNCEME-CE,Fundação Cearense de Meteorologia e Recursos Hídricos,10/07/2020,,6
19592,0,0,0,0,10,DAEE-SP,Departamento de Águas e Energia Elétrica do Estado de São Paulo,10/07/2020,,6
19593,0,0,0,0,11,SUDENE,Superintendência do Desenvolvimento do Nordeste,10/07/2020,,6
19594,0,0,0,0,12,PRADA,Cia Prada de Eletricidade,10/07/2020,,6
19595,0,0,0,0,13,CEMAT,Centrais Elétricas Matogrossenses S.A.,10/07/2020,,6
19596,0,0,0,0,14,EFMM,Estrada de Ferro Madeira-Mamoré,10/07/2020,,6
19597,0,0,0,0,15,CELESC,Celesc Geração S.A,10/07/2020,,6
19598,0,0,0,0,16,EEVP,Empresa de Eletricidade Vale do Paranapanema S.A.,10/07/2020,,6
19599,0,0,0,0,17,SUL PAULISTA,Empresa de Eletricidade Sul Paulista S.A.,10/07/2020,,6
19600,0,0,0,0,18,CEA,Cia de Eletricidade do Amapá,10/07/2020,,6
19601,0,0,0,0,19,CELPA,Centrais Elétricas do Pará  S.A.,10/07/2020,,6
19602,0,0,0,0,20,ALUMINAS,Alumínio Minas Gerais S.A.,10/07/2020,,6
19603,0,0,0,0,21,EFVM,Estrada de Ferro Vitória-Minas,10/07/2020,,6
19604,0,0,0,0,22,CBCC,Cia Brasileira de Carbureto de Cálcio,10/07/2020,,6
19605,0,0,0,0,23,CEMIG,CEMIG Geração e Transmissão S.A,10/07/2020,,6
19606,0,0,0,0,24,SCHLEMN,Cia Alexandre Schlemn,10/07/2020,,6
19607,0,0,0,0,25,ICB,Instituto do Cacau da Bahia,10/07/2020,,6
19608,0,0,0,0,26,EESC,Escola de Engenharia de São Carlos,10/07/2020,,6
19609,0,0,0,0,27,SANBRA,Sociedade Algodoeira do Nordeste do Brasil,10/07/2020,,6
19610,0,0,0,0,28,COPEL,Copel Geração e Transmissão S.A,10/07/2020,,6
19611,0,0,0,0,29,SOUZA CRUZ,Cia de Cigarros Souza Cruz Indústria e Comércio Ltda.,10/07/2020,,6
19612,0,0,0,0,30,ICOMI,Indústria e Comércio de Minérios,10/07/2020,,6
19613,0,0,0,0,31,ACCO,Anderson Clayton e Cia Ltda.,10/07/2020,,6
19614,0,0,0,0,32,CMNP,Cia de Melhoramento Norte do Paraná,10/07/2020,,6
19615,0,0,0,0,33,CTNP,Cia de Terras Norte do Paraná,10/07/2020,,6
19616,0,0,0,0,34,CEMAR,Companhia Energética do Maranhão S.A.,10/07/2020,,6
19617,0,0,0,0,35,FABA,Fomento Agrícola da Bahia,10/07/2020,,6
19618,0,0,0,0,36,CPFL-FERROLIGAS,Cia Paulista de Ferro Ligas,10/07/2020,,6
19619,0,0,0,0,37,COELBA,Cia de Eletricidade do Estado da Bahia,10/07/2020,,6
19620,0,0,0,0,38,SABA,Secretaria da Agricultura da Bahia,10/07/2020,,6
19621,0,0,0,0,39,FASE,Fomento Agrícola de Sergipe,10/07/2020,,6
19622,0,0,0,0,40,IRGA,Instituto Riograndense do Arroz,10/07/2020,,6
19623,0,0,0,0,41,USIBA,Usina Siderurgica da Bahia,10/07/2020,,6
19624,0,0,0,0,42,EMBRAPA/IPAGRO,Empresa Brasileira de Pesquisa Agropecuária,10/07/2020,,6
19625,0,0,0,0,43,KLABIN,Klabin S.A,10/07/2020,,6
19626,0,0,0,0,44,CONTUR,Contur Energética,10/07/2020,,6
19627,0,0,0,0,45,STEVENSON,F. Stevenson e Companhia,10/07/2020,,6
19628,0,0,0,0,46,DER-SP,Departamento de Estrada de Rodagem do Estado de São Paulo,10/07/2020,,6
19629,0,0,0,0,47,RFFSA,Rede Ferroviária Federal S.A.,10/07/2020,,6
19630,0,0,0,0,48,SAA-SP,Secretaria de  Estado da Agricultura e Abastecimento de São Paulo,10/07/2020,,6
19631,0,0,0,0,49,CEESC,Comissão de Energia Elétrica de Santa Catarina,10/07/2020,,6
19632,0,0,0,0,50,FEPASA,Ferrovia Paulista S.A.,10/07/2020,,6
19633,0,0,0,0,51,SOPRS,Secretaria de Obras Públicas e Saneamento do Estado do Rio Grande do Sul,10/07/2020,,6
19634,0,0,0,0,52,AGUASPARANÁ,Instituto das Águas do Paraná (antiga SUDERHSA),10/07/2020,,6
19635,0,0,0,0,53,CIA,Centro Industrial de Aratú,10/07/2020,,6
19636,0,0,0,0,54,COPASA-MG,Cia de Saneamento de Minas Gerais,10/07/2020,,6
19637,0,0,0,0,55,ELETROBRÁS,Centrais Elétricas Brasileiras S.A.,10/07/2020,,6
19638,0,0,0,0,56,IDESP,Instituto de Desenvolvimento Econômico e Social do Pará,10/07/2020,,6
19639,0,0,0,0,57,DEPV,Diretoria de Eletrônica e Proteção ao Voo do Ministério da Aeronáutica,10/07/2020,,6
19640,0,0,0,0,58,DNOCS,Departamento Nacional de Obras Contra as Secas,10/07/2020,,6
19641,0,0,0,0,59,FEEMA,Fundação Estadual de Engenharia do Meio Ambiente - RJ,10/07/2020,,6
19642,0,0,0,0,60,IAA,Instituto do Açúcar e do Alcool,10/07/2020,,6
19643,0,0,0,0,61,CHM,Comando de Hidrografia e Navegação do Ministério da Marinha,10/07/2020,,6
19644,0,0,0,0,62,CEPLAC,Comissão Executiva do Plano de Recuperação Economica-Social da Lavoura Cacaueira,10/07/2020,,6
19645,0,0,0,0,63,CLM,Comissão da Lagoa Mirim,10/07/2020,,6
19646,0,0,0,0,64,SUDAM,Superintendência do Desenvolvimento da Amazônia,10/07/2020,,6
19647,0,0,0,0,65,DEPRC,"Departamento Estadual de Portos, Rios e Canais do Rio Grande do Sul",10/07/2020,,6
19648,0,0,0,0,66,DMAE,Departamento Municipal de Águas e Esgoto - Porto Alegre / RS,10/07/2020,,6
19649,0,0,0,0,67,IAPAR,Instituto Agronomo do Paraná,10/07/2020,,6
19650,0,0,0,0,68,DAEE-MG,Departamento de Águas e Energia Elétrica de Minas Gerais,10/07/2020,,6
19651,0,0,0,0,69,FURNAS,Furnas Centrais Elétricas S.A.,10/07/2020,,6
19652,0,0,0,0,70,MORRO VELHO,Mineração Morro Velho S.A.,10/07/2020,,6
19653,0,0,0,0,71,SABESP,Companhia de Saneamento Básico do Estado de São Paulo-SABESP,10/07/2020,,6
19654,0,0,0,0,72,GERAL,Cia Geral de Eletricidade,10/07/2020,,6
19655,0,0,0,0,73,EMBASA-BA,Empresa Baiana de Saneamento,10/07/2020,,6
19656,0,0,0,0,74,CERB,Cia de Engenharia Rural da Bahia,10/07/2020,,6
19657,0,0,0,0,75,ELETRONORTE,Centrais Elétricas do Norte do Brasil S.A-ELETRONORTE,10/07/2020,,6
19658,0,0,0,0,76,SERLA-RJ,Superintendência Estadual de Rios e Lagoas do Rio de Janeiro,10/07/2020,,6
19659,0,0,0,0,77,CAESB,Companhia de Saneamento Ambiental do Distrito Federal,10/07/2020,,6
19660,0,0,0,0,78,PLANALSUCAR,Programa Nacional de Melhoramento da Cana-de-Açúcar,10/07/2020,,6
19661,0,0,0,0,79,ELETROSUL,Eletrosul Centrais Elétricas S.A.,10/07/2020,,6
19662,0,0,0,0,80,CHESF,Companhia Hidro Elétrica do São Francisco-CHESF,10/07/2020,,6
19663,0,0,0,0,81,VALE,Vale S.A.,10/07/2020,,6
19664,0,0,0,0,82,CPRM,Cia de Pesquisa de Recursos Minerais,10/07/2020,,6
19665,0,0,0,0,83,CAGEPA,Cia de Águas e Esgoto da Paraíba,10/07/2020,,6
19666,0,0,0,0,84,EMAE,Empresa Metropolitana de Águas e Energia  S.A-EMAE,10/07/2020,,6
19667,0,0,0,0,85,HIDROLOGIA,Engenharia Industria e Comércio S.A.,10/07/2020,,6
19668,0,0,0,0,86,CNEC,Consorcio Nacional de Engenheiros Consultores,10/07/2020,,6
19669,0,0,0,0,87,HIDROSERVICE,Engenharia de Projetos Ltda.,10/07/2020,,6
19670,0,0,0,0,88,HIDROESB,Saturnino de Brito S.A.,10/07/2020,,6
19671,0,0,0,0,89,EMATER,Empresa Estadual de Assistência Tec. e Ext. Rural,10/07/2020,,6
19672,0,0,0,0,90,ITAIPU,Itaipu  Binacional,10/07/2020,,6
19673,0,0,0,0,91,SEMA-MT,Secretaria de Meio Ambiente do Estado do Mato Grosso,10/07/2020,,6
19674,0,0,0,0,92,LMRS-PB,"Laboratório de Met., Rec. Hid. e Sensoriamento Remoto da Paraíba",10/07/2020,,6
19675,0,0,0,0,93,SIMEPAR,Sistema Meteorológico do Paraná,10/07/2020,,6
19676,0,0,0,0,94,EPAGRI-SC,Empresa de Pesquisa Agrícola de Santa Catarina,10/07/2020,,6
19677,0,0,0,0,95,CELTINS,Cia. Energia Elétrica do Estado do Tocantins,10/07/2020,,6
19678,0,0,0,0,96,IEMA-ES,Instituto Estadual de Meio Ambiente e Recursos Hidricos - Espirito Santo,10/07/2020,,6
19679,0,0,0,0,97,EMPARN,Empresa de Pesquisa Agropecuária do Rio Grande do Norte,10/07/2020,,6
19680,0,0,0,0,98,SANEPAR,Cia de Saneamento do Paraná,10/07/2020,,6
