Ordem,Seleção SOE ,Seleção SPR/SRE ,PrioridadeANA,FID,Ano/RHNR,Situação,GestorPCD,CODIGO,NOME,OBJ1,OBJ2,OBJ3,OBJ4,OBJ5,OBJ6,SOMA,NTRECHOSAT,UR,Latitude,Longitude,AreaDrenag,Escala,Registrador de nível,Descarga líquida,Sedimentos,Qualidade da água,Telemétrica,Descricao,Observações Adicionais
1,,,,,2020,,,8250002,CALÇOENE,,,,,,,,,SUREG-BE,,,,,,,,,,,ENTROU NA RHNR 2020
2,Sim,Sim,Sim,66,2018,Operando,Sim,10100000,TABATINGA,1,1,0,0,0,0,2,1,SUREG-MA,-4.2347000000000001,-67.931399999999996,1130000,0,0,0,0,0,1,TELEMÉTRICA - VAISALA_GOES
3,,,,645,,,,11500001,SANTO ANTÔNIO DO IÇÁ-TELEMÉTRICA,0,1,0,1,0,0,2,1,SUREG-MA,-3.1105999999999998,-67.931399999999996,1130000,0,0,0,0,0,1,TELEMÉTRICA - VAISALA_GOES
4,,,,616,,,,12351001,FONTE BOA-TELEMÉTRICA,0,1,0,1,0,0,2,1,SUREG-MA,-2.4914000000000001,-66.061700000000002,1220000,0,0,0,0,0,1,TELEMÉTRICA - VAISALA_GOES
5,,,,77,,,,12900002,TEFÉ - MISSÕES-TELEMÉTRICA,0,1,1,0,0,0,2,1,SUREG-MA,-3.3757999999999999,-64.654700000000005,24300,0,0,0,0,0,1,TELEMÉTRICA - VAISALA_GOES
6,,Sim,Sim,773,2018,Operando,Sim,13150003,COARI,0,1,0,0,0,0,1,1,SUREG-MA,-4.0856000000000003,-63.083300000000001,35600,1,0,0,0,0,1,TELEMÉTRICA - VAISALA_GOES
7,,,,163,,,,13155000,CODAJÁS,0,0,1,0,0,0,1,1,SUREG-MA,-3.8447,-62.061100000000003,1810000,1,0,0,0,0,0, 
8,,Sim,Sim,425,2018,Operando,Sim,13180000,MANOEL URBANO,1,1,1,0,0,0,3,3,REPO,-8.8841999999999999,-69.268100000000004,32800,1,0,1,0,0,1,TELEMÉTRICA - VAISALA_GOES
9,,,,204,,,,13300000,SERINGAL SÃO JOSÉ,0,1,0,0,0,0,1,1,REPO,-9.3743999999999996,-68.7239,11200,1,0,1,0,1,1,TELEMÉTRICA - VAISALA_GOES
10,,Sim,Sim,403,2018,Operando,Sim,13310000,SENA MADUREIRA,1,1,1,0,0,0,3,2,REPO,-9.0678000000000001,-68.653099999999995,18000,1,0,1,0,1,1,"TELEMÉTRICA - VAISALA_GOESTELEMÉTRICA - CotaOnline"
11,,,,774,2019,Operando,,13410000,SERINGAL DA CARIDADE,0,1,0,0,0,0,1,1,REPO,-9.0439000000000007,-68.577200000000005,63100,1,0,1,1,1,0, 
12,,,,422,,,,13430000,ESEC RIO ACRE,0,1,0,0,0,0,1,1,REPO,-11.051399999999999,-70.216399999999993,863,1,0,1,0,1,1,TELEMÉTRICA - VAISALA_GOES
13,,,,744,2017,Operando ,Sim,13450000,ASSIS BRASIL,0,1,0,0,0,0,1,1,REPO,-10.9436,-69.565600000000003,3760,1,0,1,0,1,1,TELEMÉTRICA - VAISALA_GOES
