RegistroID,Importado,Temporario,Removido,ImportadoRepetido,EstadoCodigo,Codigo,CodigoIBGE,Nome,DataIns,DataAlt,RespAlt
13873,0,0,0,0,24,24065500,4306551,DOM PEDRO DE ALCÂNTARA,10/07/2020,,6
13874,0,0,0,0,5,5009500,1500958,AURORA DO PARÁ,10/07/2020,,6
13875,0,0,0,0,7,7022000,2102200,BURITI,10/07/2020,,6
13876,0,0,0,0,8,8028000,2202802,CONCEIÇÃO DO CANINDÉ,10/07/2020,,6
13877,0,0,0,0,9,9039100,2303931,CHORO,10/07/2020,,6
13878,0,0,0,0,10,10024000,2402402,CARNAUBA DOS DANTAS,10/07/2020,,6
13879,0,0,0,0,11,11027000,2502706,BORBOREMA,10/07/2020,,6
13880,0,0,0,0,12,12013000,2601300,BARRA DE GUABIRABA,10/07/2020,,6
13881,0,0,0,0,12,12162000,2616209,VERTENTES,10/07/2020,,6
13882,0,0,0,0,15,15049000,2804904,PACATUBA,10/07/2020,,6
13883,0,0,0,0,16,16106800,2910776,FEIRA DA MATA,10/07/2020,,6
13884,0,0,0,0,16,16239000,2923902,PAU BRASIL,10/07/2020,,6
13885,0,0,0,0,17,17030000,3103009,ANTÔNIO DIAS,10/07/2020,,6
13886,0,0,0,0,17,17183000,3118304,CONSELHEIRO LAFAIETE,10/07/2020,,6
13887,0,0,0,0,17,17184000,3118403,CONSELHEIRO PENA,10/07/2020,,6
13888,0,0,0,0,17,17185000,3118502,CONSOLAÇÃO,10/07/2020,,6
13889,0,0,0,0,17,17186000,3118601,CONTAGEM,10/07/2020,,6
13890,0,0,0,0,17,17187000,3118700,COQUEIRAL,10/07/2020,,6
13891,0,0,0,0,17,17188000,3118809,CORAÇÃO DE JESUS,10/07/2020,,6
13892,0,0,0,0,17,17189000,3118908,CORDISBURGO,10/07/2020,,6
13893,0,0,0,0,17,17190000,3119005,CORDISLÂNDIA,10/07/2020,,6
13894,0,0,0,0,17,17191000,3119104,CORINTO,10/07/2020,,6
13895,0,0,0,0,17,17192000,3119203,COROACI,10/07/2020,,6
13896,0,0,0,0,17,17193000,3119302,COROMANDEL,10/07/2020,,6
13897,0,0,0,0,17,17194000,3119401,CORONEL FABRICIANO,10/07/2020,,6
13898,0,0,0,0,17,17195000,3119500,CORONEL MURTA,10/07/2020,,6
13899,0,0,0,0,17,17196000,3119609,CORONEL PACHECO,10/07/2020,,6
13900,0,0,0,0,17,17197000,3119708,CORONEL XAVIER CHAVES,10/07/2020,,6
13901,0,0,0,0,17,17198000,3119807,CÓRREGO DANTA,10/07/2020,,6
13902,0,0,0,0,17,17199000,3119906,CÓRREGO DO BOM JESUS,10/07/2020,,6
13903,0,0,0,0,17,17200000,3120003,CÓRREGO NOVO,10/07/2020,,6
13904,0,0,0,0,17,17201000,3120102,COUTO DE MAGALHÃES DE MINAS,10/07/2020,,6
13905,0,0,0,0,17,17202000,3120201,CRISTAIS,10/07/2020,,6
13906,0,0,0,0,17,17203000,3120300,CRISTÁLIA,10/07/2020,,6
13907,0,0,0,0,17,17204000,3120409,CRISTIANO OTONI,10/07/2020,,6
13908,0,0,0,0,17,17205000,3120508,CRISTINA,10/07/2020,,6
13909,0,0,0,0,17,17206000,3120607,CRUCILÂNDIA,10/07/2020,,6
13910,0,0,0,0,17,17207000,3120706,CRUZEIRO DA FORTALEZA,10/07/2020,,6
13911,0,0,0,0,17,17208000,3120805,CRUZÍLIA,10/07/2020,,6
13912,0,0,0,0,17,17209000,3120904,CURVELO,10/07/2020,,6
13913,0,0,0,0,17,17210000,3121001,DATAS,10/07/2020,,6
13914,0,0,0,0,17,17211000,3121100,DELFIM MOREIRA,10/07/2020,,6
13915,0,0,0,0,17,17212000,3121209,DELFINÓPOLIS,10/07/2020,,6
13916,0,0,0,0,17,17213000,3121308,DESCOBERTO,10/07/2020,,6
13917,0,0,0,0,17,17214000,3121407,DESTERRO DE ENTRE RIOS,10/07/2020,,6
13918,0,0,0,0,17,17215000,3121506,DESTERRO DO MELO,10/07/2020,,6
13919,0,0,0,0,17,17216000,3121605,DIAMANTINA,10/07/2020,,6
13920,0,0,0,0,17,17217000,3121704,DIOGO DE VASCONCELOS,10/07/2020,,6
13921,0,0,0,0,17,17218000,3121803,DIONÍSIO,10/07/2020,,6
13922,0,0,0,0,17,17219000,3121902,DIVINÉSIA,10/07/2020,,6
