CodigoPLU,CodigoFLU,OperadoraSigla
471000,10300000,COHIDRO
368001,11400000,COHIDRO
269001,11444900,COHIDRO
367000,11500000,COHIDRO
468003,12150000,COHIDRO
467002,12210000,COHIDRO
773002,12420000,CONSTRUFAM-LoteB
772005,12510500,CONSTRUFAM-LoteB
771001,12530000,CONSTRUFAM-LoteB
770001,12540000,CONSTRUFAM-LoteC
669003,12550000,CONSTRUFAM-LoteC
870001,12600001,CONSTRUFAM-LoteB
870003,12640000,CONSTRUFAM-LoteB
870002,12650000,CONSTRUFAM-LoteB
770000,12680000,CONSTRUFAM-LoteC
466001,12840000,COHIDRO
366000,12842000,COHIDRO
169000,12845000,COHIDRO
465000,12880000,COHIDRO
364004,12900001,COHIDRO
563000,13100000,COHIDRO
463005,13150003,CPRM-SUREG-MA
968003,13300000,CPRM-SUREG-PV
969001,13405000,CONSTRUFAM-LoteB
968001,13410000,CPRM-SUREG-PV
1069000,13450000,CPRM-SUREG-PV
1067005,13568000,CPRM-SUREG-PV
1068004,13572000,CPRM-SUREG-PV
1067006,13578000,CPRM-SUREG-PV
967001,13650000,CONSTRUFAM-LoteC
767002,13740000,CONSTRUFAM-LoteC
664001,13880000,CONSTRUFAM-LoteC
360006,14101000,CPRM-SUREG-MA
67002,14325000,CPRM-SUREG-MA
65001,14400000,CPRM-SUREG-MA
8063001,14428000,CPRM-SUREG-MA
62002,14480002,CPRM-SUREG-MA
8361006,14495000,CPRM-SUREG-MA
8360002,14515000,CPRM-SUREG-MA
8359005,14527000,CPRM-SUREG-MA
8460001,14530000,CPRM-SUREG-MA
8560000,14540000,CPRM-SUREG-MA
8360008,14558000,CPRM-SUREG-MA
8261000,14680001,CPRM-SUREG-MA
8260004,14690000,CPRM-SUREG-MA
8161001,14710000,CPRM-SUREG-MA
359008,15031000,CPRM-SUREG-MA
359004,15035000,CPRM-SUREG-MA
1262000,15150000,CPRM-SUREG-PV
1065002,15250000,CPRM-SUREG-PV
965005,15326000,CPRM-SUREG-PV
863016,15490000,CPRM-SUREG-PV
863004,15550000,CPRM-SUREG-PV
1160002,15552600,CPRM-SUREG-PV
1161001,15558000,CPRM-SUREG-PV
1161008,15558200,CPRM-SUREG-PV
1161004,15559000,CPRM-SUREG-PV
1062006,15564000,CPRM-SUREG-PV
1062001,15565000,CPRM-SUREG-PV
862000,15580000,CPRM-SUREG-PV
761003,15680000,CONSTRUFAM-LoteC
460002,15860000,CONSTRUFAM-LoteC
359001,15940000,CPRM-SUREG-MA
159000,16080000,CPRM-SUREG-MA
259006,16100000,CPRM-SUREG-MA
158004,16205000,CPRM-SUREG-MA
57001,16430000,CPRM-SUREG-BE
157003,16500000,CPRM-SUREG-BE
157000,16650000,CPRM-SUREG-BE
