RegistroID,Importado,Temporario,Removido,ImportadoRepetido,BaciaCodigo,SubBaciaCodigo,Codigo,Nome,Jurisdicao,DataIns,DataAlt,RespAlt
95,0,0,0,0,1,14,14260330,FURO MARACA,2,,10/07/2020,6
96,0,0,0,0,1,14,14261120,RIO OCONEI,2,,10/07/2020,6
97,0,0,0,0,1,14,14261200,RIO ÉRICO,2,,10/07/2020,6
98,0,0,0,0,1,14,14261210,IGARAPÉ AÇAÍ,2,,10/07/2020,6
99,0,0,0,0,1,14,14261500,IGARAPÉ PACA-SIBI,2,,10/07/2020,6
100,0,0,0,0,1,14,14262100,RIO TRAIDA,2,,10/07/2020,6
101,0,0,0,0,1,14,14262720,RIO ACARI,2,,10/07/2020,6
102,0,0,0,0,1,14,14262740,IGARAPÉ FLEXA,2,,10/07/2020,6
103,0,0,0,0,1,14,14262800,IGARAPÉ TIPIQUIRI,2,,10/07/2020,6
104,0,0,0,0,1,14,14262910,RIO CANARUANA,2,,10/07/2020,6
105,0,0,0,0,1,14,14263000,IGARAPÉ TRUARU,2,,10/07/2020,6
106,0,0,0,0,1,14,14263100,IGARAPÉ CHIRIRI,2,,10/07/2020,6
107,0,0,0,0,1,14,14263220,RIO TACUTU ESTE,1,,10/07/2020,6
108,0,0,0,0,1,14,14263300,RIO TIQUIRRE,2,,10/07/2020,6
109,0,0,0,0,1,14,14263400,RIO VAMUCUAU,2,,10/07/2020,6
110,0,0,0,0,1,14,14263420,IGARAPÉ MURUINA,2,,10/07/2020,6
111,0,0,0,0,1,14,14264110,IGARAPÉ ZAMIA,2,,10/07/2020,6
112,0,0,0,0,1,14,14264120,IGARAPÉ INFÂMIA,2,,10/07/2020,6
113,0,0,0,0,1,14,14264210,RIO PANARI,2,,10/07/2020,6
114,0,0,0,0,1,14,14264290,RIO QUINO,2,,10/07/2020,6
115,0,0,0,0,1,14,14264310,IGARAPÉ UAICUE,2,,10/07/2020,6
116,0,0,0,0,1,14,14264320,IGARAPÉ MAIUTZI,2,,10/07/2020,6
117,0,0,0,0,1,14,14264330,IGARAPÉ MARAUAI,2,,10/07/2020,6
118,0,0,0,0,1,14,14265110,IGARAPÉ PACOVAL,2,,10/07/2020,6
119,0,0,0,0,1,14,14265200,RIO AUAI GRANDE,2,,10/07/2020,6
120,0,0,0,0,1,14,14266300,IGARAPÉ BANHO,2,,10/07/2020,6
121,0,0,0,0,1,14,14266800,RIO IRAUE,2,,10/07/2020,6
122,0,0,0,0,1,14,14268450,IGARAPÉ MARARA,2,,10/07/2020,6
123,0,0,0,0,1,14,14268550,IGARAPÉ BOM JARDIM,2,,10/07/2020,6
124,0,0,0,0,1,14,14268700,IGARAPÉ DO NERI,2,,10/07/2020,6
125,0,0,0,0,1,14,14269500,PARANÃ ADAUAU,2,,10/07/2020,6
126,0,0,0,0,1,14,14271000,RIO JAUAPERI,1,,10/07/2020,6
