RegistroID,Importado,Temporario,Removido,ImportadoRepetido,BaciaCodigo,Codigo,Nome,Jurisdicao,DataIns,DataAlt,RespAlt
11,0,0,0,0,1,10,"RIO SOLIMÕES, JAVARI,ITACUAI",,10/07/2020,,6
12,0,0,0,0,1,12,"RIO SOLIMÕES,JURUÁ,JAPURÁ,....",,10/07/2020,,6
13,0,0,0,0,1,14,"RIO SOLIMÕES,NEGRO,BRANCO,....",,10/07/2020,,6
14,0,0,0,0,1,16,"RIO AMAZONAS,TROMBETAS,OUTROS",,10/07/2020,,6
15,0,0,0,0,1,18,"RIO AMAZONAS,,XINGÚ,IRIRI,PARU",,10/07/2020,,6
16,0,0,0,0,2,20,"RIO TOCANTINS,MARANHÃO,PALMAS..",,10/07/2020,,6
17,0,0,0,0,2,22,"RIO TOCANTINS,MANUEL  ALVES,SONO...",,10/07/2020,,6
18,0,0,0,0,2,24,"RIO ARAGUAIA,CAIAPÓ,CLARO.....",,10/07/2020,,6
19,0,0,0,0,2,26,"RIO ARAGUAIA,MORTES,JAVAÉS....",,10/07/2020,,6
20,0,0,0,0,2,28,"RIO ARAGUAIA,MURICIZAL,LONTRA",,10/07/2020,,6
21,0,0,0,0,3,30,"RIOS OIAPOQUE,ARAGUARI E .....",,10/07/2020,,6
22,0,0,0,0,3,32,"RIOS GURUPI,TURIAÇU E OUTROS",,10/07/2020,,6
23,0,0,0,0,3,34,RIO PARNAÍBA,,10/07/2020,,6
24,0,0,0,0,3,36,RIO JAGUARIBE,,10/07/2020,,6
25,0,0,0,0,3,38,"RIOS PARAÍBA,POTENJI E OUTROS",,10/07/2020,,6
26,0,0,0,0,4,40,"RIOS SÃO FRANCISCO,PARAOPEBA E",,10/07/2020,,6
27,0,0,0,0,4,42,"RIOS SÃO FRANCISCO,PARACATU E",,10/07/2020,,6
28,0,0,0,0,4,43,"RIOS SÃO FRANCISCO,URUCUIA E .",,10/07/2020,,6
29,0,0,0,0,4,45,"RIOS SÃO FRANCISCO,CARINHANHA",,10/07/2020,,6
30,0,0,0,0,4,47,"RIOS SÃO FRANCISCO,JACARÉ E ..",,10/07/2020,,6
31,0,0,0,0,4,49,"RIOS SÃO FRANCISCO,MOXOTÓ E ..",,10/07/2020,,6
32,0,0,0,0,5,51,"RIOS PARAGUAÇÚ,JEQUIRICÁ E ...",,10/07/2020,,6
33,0,0,0,0,5,53,"RIOS PARDO,CACHOEIRA E OUTROS",,10/07/2020,,6
34,0,0,0,0,5,55,"RIOS MUCURI,SÃO MATEUS E ....",,10/07/2020,,6
35,0,0,0,0,5,57,"RIOS ITAPEMIRIM,ITABAPOANA E .",,10/07/2020,,6
36,0,0,0,0,5,59,"RIOS MACAÉ,SÃO JOÃO E OUTROS",,10/07/2020,,6
37,0,0,0,0,6,61,RIO GRANDE,,10/07/2020,,6
38,0,0,0,0,8,83,RIO ITAJAÍ-AÇU,,10/07/2020,,6
39,0,0,0,0,1,11,"RIO SOLIMÕES,IÇÁ,JANDIATUBA,..",,10/07/2020,,6
40,0,0,0,0,1,13,"RIO SOLIMÕES,PURUS,COARI,..",,10/07/2020,,6
41,0,0,0,0,1,15,"RIO AMAZONAS,MADEIRA,GUAPORÉ,...",,10/07/2020,,6
42,0,0,0,0,1,17,"RIO AMAZONAS,TAPAJÓS,JURUENA..",,10/07/2020,,6
43,0,0,0,0,1,19,"RIO AMAZONAS,JARI,PARÁ,OUTROS",,10/07/2020,,6
44,0,0,0,0,2,21,"RIO TOCANTINS,PARANÃ,PALMA....",,10/07/2020,,6
45,0,0,0,0,2,23,"RIO TOCANTINS,MANUEL ALVES GRANDE",,10/07/2020,,6
46,0,0,0,0,2,25,"RIO ARAGUAIA,CRIXÁS-AÇU,PEIXE",,10/07/2020,,6
47,0,0,0,0,2,27,"RIO ARAGUAIA,COCO,PAU DARCO..",,10/07/2020,,6
48,0,0,0,0,2,29,"RIO TOCANTINS,ITACAIÚNAS,.....",,10/07/2020,,6
49,0,0,0,0,3,31,"RIOS MERUU,ACARÁ,GUAMÁ, OUTROS",,10/07/2020,,6
50,0,0,0,0,3,33,"RIOS MEARIM,ITAPECURU E OUTROS",,10/07/2020,,6
51,0,0,0,0,3,35,"RIOS ACARAÚ,PIRANGI E OUTROS",,10/07/2020,,6
52,0,0,0,0,3,37,"RIOS APODI,PIRANHAS E OUTROS",,10/07/2020,,6
53,0,0,0,0,3,39,"RIOS CAPIBARIBE,MUNDAÚ E .....",,10/07/2020,,6
54,0,0,0,0,4,41,"RIOS SÃO FRANCISCO,DAS VELHAS",,10/07/2020,,6
55,0,0,0,0,4,44,"RIOS SÃO FRANCISCO,VERDE GRANDE",,10/07/2020,,6
56,0,0,0,0,4,46,"RIOS SÃO FRANCISCO,GRANDE E ..",,10/07/2020,,6
57,0,0,0,0,4,48,"RIOS SÃO FRANCISCO,PAJEÚ E ...",,10/07/2020,,6
58,0,0,0,0,5,50,"RIOS VAZA BARRIS,ITAPICURU E .",,10/07/2020,,6
59,0,0,0,0,5,52,RIO DE CONTAS,,10/07/2020,,6
60,0,0,0,0,5,54,RIO JEQUITINHONHA,,10/07/2020,,6
61,0,0,0,0,5,56,RIO DOCE,,10/07/2020,,6
62,0,0,0,0,5,58,RIO PARAÍBA DO SUL,,10/07/2020,,6
63,0,0,0,0,6,60,RIO PARANAÍBA,,10/07/2020,,6
64,0,0,0,0,6,62,"RIOS PARANÁ,TIETÊ E OUTROS",,10/07/2020,,6
65,0,0,0,0,6,63,"RIOS PARANÁ,PARDO E OUTROS",,10/07/2020,,6
66,0,0,0,0,6,64,"RIOS PARANÁ,PARANAPANEMA E ...",,10/07/2020,,6
67,0,0,0,0,6,65,"RIOS PARANÁ,IGUAÇU E OUTROS",,10/07/2020,,6
68,0,0,0,0,6,66,"RIOS PARAGUAI,SÃO LOURENÇO E .",,10/07/2020,,6
69,0,0,0,0,6,67,"RIOS PARAGUAI,APA E OUTROS",,10/07/2020,,6
70,0,0,0,0,6,68,"RIOS PARANÁ,CORRIENTES E .....",,10/07/2020,,6
71,0,0,0,0,6,69,"RIOS PARANÁ,TERCERO E OUTROS",,10/07/2020,,6
72,0,0,0,0,7,70,RIO PELOTAS,,10/07/2020,,6
73,0,0,0,0,7,71,RIO CANOAS,,10/07/2020,,6
74,0,0,0,0,7,72,"RIOS URUGUAI,DO PEIXE E OUTROS",,10/07/2020,,6
75,0,0,0,0,7,73,"RIOS URUGUAI,CHAPECÓ E OUTROS",,10/07/2020,,6
76,0,0,0,0,7,74,"RIOS URUGUAI,DA VÁRZEA E ....",,10/07/2020,,6
