,Codigo,Sigla,Nome
1,1212,A&Solo-Engeplus,Consórcio Água e Solo - Engeplus
2,678,ABC ENERGIA,ABC Energia Ltda.
3,360,ABRANJO,Abranjo Geração de Energia S.A.
4,31,ACCO,Anderson Clayton e Cia Ltda.
5,190,ADASA-DF,Agência Reguladora de Águas e Saneamento - DF
6,143,AES TIETÊ,AES Tietê Energia S.A.
7,284,AESA-PB,Agência Executiva de Gestão das Águas do Estado da Paraíba
8,1219,AESBRASIL,AES Brasil Operações S.A.
9,682,AFLUENTE,Afluente Geração de Energia Elétrica S.A
10,913,AGERH-ES,Agência Estadual de Recursos Hídricos
11,1232,AGRICOLA,Heidrich Industria Mercantil e Agricola S.A.
12,637,AGROENERGÉTICA,Agroenergética Mato Grosso Ltda
13,1058,AGROINDUSTRIAL,Cooperativa Agrária Agroindustrial
14,1275,AGROPECUÁRIA,DH Agropecuária Ltda.
15,145,AGROROSSATO,Agropecuária Rossato Ltda.
16,1001,ÁGUA CLARA,Água Clara Energética S.A.
17,500,ÁGUA E SOLO,Água e Solo Estudos e Projetos Ltda.
18,499,AGUALIMPA,Água Limpa Energia S.A
19,1013,AGUALIMPAMG,Água Limpa Energia S.A. (MG)
20,1103,ÁGUAS,PCH Águas do Rio Irani Energética Ltda.
21,531,ÁGUAS DA PEDRA,Energética Águas da Pedra S.A
22,292,ÁGUAS GUARIROBA,Águas Guariroba S/A
23,441,ÁGUAS IMPERADOR,Águas do Imperador
24,551,ÁGUASCLARAS,Hidrelétrica Águas Claras Ltda.
25,1174,ALEGRE,Alto Alegre Energética Ltda
26,1048,ALIANÇA,Aliança Geração de Energia S.A.
27,1055,ALTESO,Alteso Geração e Comercialização de Energia Ltda.
28,1294,ALTO BRAÇO,Alto Braço Energia Ltda.
29,1224,ALTO FARIAS,SPE Alto Farias S.A
30,1133,ALTO GUAPORÉ,PCH Alto Guaporé SPE S.A.
31,350,ALTO JAURU,Alto Jauru Energética S.A
32,225,ALTOÉ,Hidroelétrica Altoé Ltda.
33,20,ALUMINAS,Alumínio Minas Gerais S.A.
34,813,ALUPAR,Alupar Investimento S.A.
35,683,ALVORADA,Alvorada Energia S.A
36,146,AMANARY,Amanary Eletricidade Ltda.
37,194,AMAZONAS,Amazonas Geração e Transmissão de Energia S.A.
38,448,AMPARO,Amparo Energia Ltda.
39,148,AMPER,Amper Energia Ltda.
40,1,ANA,Agência Nacional de Águas 
41,110,ANEEL,Agência Nacional de Energia Elétrica
42,1116,ANEL,Anel Imobiliária Ltda.
43,768,ÂNGELO CASSOL,Hidroelétrica Ângelo Cassol Ltda.
44,340,ANGLO GOLD,Anglogold Ashanti Córrego do Sítio Mineração Ltda.
45,472,ANHAMBI,Anhambi Agroindustrial Ltda.
46,493,ANHANGUERA,Central Elétrica Anhanguera S.A
47,298,ANTÔNIO FORNASA,Antônio Fornasa Administradora de Bens Ltda.
48,230,APAC-PE,Agência Pernambucana de Águas e Clima
49,1225,APARECIDA,Companhia Energética Aparecida
50,684,APIACÁS,Apiacás Energia S.A
51,393,APROVA,Aprova Agricultura Sustentável
52,147,APROVALE,Associação de Produtores Rurais do Vale do Cedro
53,473,AQUARIUS,Aquarius Energética S.A
54,149,ARAPUCEL,Arapucel Ombreiras S.A.
55,471,ARATU,Aratu Geração S.A
56,475,ARCELOR,Arcelor Mittal Brasil S.A.
57,1007,ARCEZZIL,Arcezzil Geração de Energia Elétrica Ltda.
58,1088,AREADO,Areado Energia S.A.
59,336,AREAL ENERGIAS,Areal Energias Renováveis Ltda.
60,476,AREIA,Areia Energia S.A
61,552,AREIA BRANCA,Hidrelétrica Areia Branca S.A
62,902,ARGENTINA,Argentina
63,1080,ARGENTUM,Argentum Energia SPE Ltda
64,1089,ARMANDO RIBEIRO,Central Geradora Hidrelétrica Armando Ribeiro S.A.
65,288,ARROSSENSAL,Arrossensal Agropecuária e Comercial S.A.
66,401,ASEA,Água e Solo Estudos Ambientais
67,950,ASSET,Asset Allocation Assessoria e Participações Ltda.
68,1131,AT&T,AT&T Energia S.A.
69,1193,ATIAIA,Atiaia Energia S.A.
70,477,AUTÓDROMO,Autódromo Energética S.A
71,150,BAESA,Energética Barra Grande S.A-BAESA
72,685,BAHIAPEQUENA,Bahia Pequena Central Hidrelétrica S.A
73,728,BANDEIRANTE,Companhia Energética Bandeirante S.A.
74,1293,BÁRBARA,Santa Bárbara Energia S.A.
75,326,BARRA GRANDE,Madereira Barra Grande Ltda
76,1095,BARTOLOMEU,São Bartolomeu Geradora de Energia Renovável Ltda.
77,302,BCE,Brasil Central Energia ltda.
78,681,BCENG,Brasil Central Engenharia Ltda.
79,479,BCSERVICE,BC Service Energética S.A.
80,1065,BELA VISTA,Bela Vista Energética S.A.
81,151,BELGO MINEIRA,Companhia Siderúrgica Belgo Mineira
82,559,BERGAMIN,Hidroelétrica Bergamin Ltda.
83,446,BJ. AGROP. LTDA,Bom Jesus Agropecuária Ltda.
84,398,BME CAP. CONV.,Capão da Convenção Energia S.A-BME
85,422,BME ENERGIA,BME Energia S.A.
86,480,BOA FÉ,Boa Fé Energética S.A
87,481,BOA SORTE,Boa Sorte Energética S.A
88,1076,BOA VISTA,Boa Vista Energética S.A.
89,1052,BOA VISTA 2,SPE Boa Vista 2 Energia S.A.
90,905,BOLÍVIA,Bolívia
91,1173,BOM JESUS,Bom Jesus Energia S.A.
92,1229,BOM RETIRO,Bom Retiro Geração De Energia Ltda
93,482,BONANZA,Bonanza Energética Ltda.
94,1238,BONET,Paulo Roberto Bonet
95,155,BONET,Bonet Madeiras e Papéis Ltda.
96,409,BONFANTE,Bonfante Energética S.A
97,1185,BORTOLON,Bortolon Hidrelétrica Ltda.
98,318,BRAÇO NORTE,Braço Norte Energia S.A.
99,153,BRAGAGNOLO,Avelino Bragagnolo S.A Industria e Comércio
100,154,BRASCAN,Brascan Energética
101,774,BRASIL FOODS,Brasil Foods
102,478,BRAÚNA,Barra do Braúna Energética S.A
103,329,BRENNAND,Brennand Energia Manopla S.A
104,1130,BRITO,Brito Energética Ltda.
105,540,BRK,BRK Ambiental - Cachoeiro de Itapemirim S.A.
106,467,BROOKFIELD,Brookfield Energia Renovável  S.A
107,361,BROOKFIELD M.G.,Brookfield Energia Renovavel Minas Gerais S.A.
108,1287,BSBIOS,Bsbios Exportação E Importação Ltda.
109,156,BT GERADORA,Bt Geradora de Energia Elétrica S.A
110,339,BURITI,Buriti Energia S.A
111,1233,BURITIRANA,Central Hidrelétrica Buritirana S.A
112,1127,BURITIZAL,Hidroelétrica Buritizal Ltda.
113,530,C TABOCA,Centrais Elétricas Taboca Ltda.
114,1143,C2LG GERAÇÃO,C2LG Geração de Energia Ltda.
115,1234,CABEÇA PATO,Cabeça de Pato Geração de Energia SPE S.A.
116,1235,CABO,CGH Cabo Verde - Geração De Energia Ltda.
117,1170,CABUÍ,PCH Cabuí SPE S.A.
118,157,CAÇADOR,Caçador Energética S.A
119,160,CACHDOURADA,ENEL GREEN POWER CACHOEIRA DOURADA
120,769,CACHIMBO ALTO,Hidroelétrica Cachimbo Alto Ltda.
121,1298,CACHOEIRA,Cachoeira Parecis S/A
122,553,CACHOEIRÃO,Hidrelétrica Cachoeirão S.A
123,1237,CACHOEIRINHA,Cachoeirinha Energia S.A.
124,1186,CADEADO,Boa Vista do Cadeado Energia Ltda.
125,819,CAERN,Companhia de Águas e Esgotos do Rio Grande do Norte
126,77,CAESB,Companhia de Saneamento Ambiental do Distrito Federal
127,83,CAGEPA,Cia de Águas e Esgoto da Paraíba
128,458,CAIBI,Central Elétrica Caibi Ltda.
129,141,CAIUÁ,Caiuá Serviços de Eletricidade S.A.
130,1040,CAJÚ,Cajú Energia Ltda.
131,484,CALDAS,Caldas Energética Ltda.
132,513,CALDEIRÃO S.A.,Empresa de Energia Cachoeira do Caldeirão S.A.
133,321,CALHEIROS,Calheiros Energia S.A.
134,359,CAM,Consultoria Agropecuária Magrin Ltda.
135,1126,CAMBARÁ,Cambará S.A. Produtos Florestais
136,392,CAMBARÁ,Pequena Central Hidrelétrica Cachoeira do Cambará Ltda.
137,370,CAMBARÁ,Hidrelétrica Cambará S.A.
138,1009,CAMPO BELO,Campo Belo Energética S.A.
139,764,CAMPO DE CIMA,Energética Campo de Cima da Serra Ltda.
140,485,CAMPOS DE JULIO,Campos de Júlio Energia S.A
141,362,CANAÃ,Canaã Geração de Energia S.A.
142,489,CANDEEIRO,Centrais Candeeiro de Energia S/A
143,1046,CANDENGO,Candengo Energias Renováveis Ltda.
144,363,CANHADÃO,Canhadão Produção de Energia Elétrica LTDA.
145,610,CANTU,Cantu Energética S.A
146,1037,CAPÃO ALTO,PCH Capão Alto Geração de Energia S.A.
147,396,CAPARAÓ,Caparaó Energia S.A
148,1281,CAPIVARA,Hidrelétrica Capivara Ltda.
149,1032,CARAMUJO,Caramujo Energética Ltda.
150,320,CARANGOLA,Carangola Energia S.A
151,1194,CARCIC,CARVIC Empreendimentos e Participações Ltda.
152,1028,CARNAÚBA,Carnaúba Geração de Energia S.A.
153,364,CAROLINA,Carolina Geração de Energia LTDA.
154,486,CASA DE PEDRA,Casa de Pedra Energia S.A
155,117,CASAN,Companhia Catarinense de Águas e Saneamento de SC
156,686,CASSOL,Cassol Centrais Elétricas Ltda.
157,159,CASTAMAN,Castaman Centrais Elétricas Ltda.
158,1097,CASTANHÃO,Central Geradora Hidrelétrica Castanhão S.A.
159,1051,CASTRO ENERGIA,Castro Energia Ltda.
160,1005,CAVALINHOS I,Serra dos Cavalinhos I Energética S.A.
161,746,CAVALINHOS II,Serra dos Cavalinhos II Energética S.A
162,1166,CAVERNOSO III,Cavernoso III Energia SPE Ltda
163,795,CAZUZA,Cazuza Ferreira Energética S.A.
164,137,CBA,Companhia Brasileira de Alumínio-CBA
165,22,CBCC,Cia Brasileira de Carbureto de Cálcio
166,344,CBR,Cachoeira do Brumado Energia Elétrica LTDA.
167,18,CEA,Cia de Eletricidade do Amapá
168,133,CEB,CEB Geração S.A.
169,303,CEBEL,Centrais Elétricas Belém S.A-CEBEL
170,204,CEC,Companhia Energética Chapecó
