,EstadoCodigo,Codigo,CodigoIBGE,Nome
1,1,1000500,1100015,ALTA FLORESTA D'OESTE
2,1,1000550,1100379,ALTO ALEGRE DOS PARECIS
3,1,1000600,1100403,ALTO PARAÍSO
4,1,1000700,1100346,ALVORADA D'OESTE
5,1,1001000,1100023,ARIQUEMES
6,1,1001200,1100452,BURITIS
7,1,1001500,1100031,CABIXI
8,1,1001800,1100601,CACAULÂNDIA
9,1,1002000,1100049,CACOAL
10,1,1002200,1100700,CAMPO NOVO DE RONDONIA
11,1,1002300,1100809,CANDÉIAS DO JAMARI
12,1,1002400,1100908,CASTANHEIRAS
13,1,1002500,1100056,CEREJEIRAS
14,1,1002600,1100924,CHUPINGUAIA
15,1,1003000,1100064,COLORADO DO OESTE
16,1,1003500,1100072,CORUMBIARA
17,1,1004000,1100080,COSTA MARQUES
18,1,1004300,1100940,CUJUBIM
19,1,1004500,1100098,ESPIGÃO D'OESTE
20,1,1004800,1101005,GOVERNADOR JORGE TEIXEIRA
21,1,1005000,1100106,GUAJARÁ-MIRIM
22,1,1005500,1101104,ITAPUÃ DO OESTE
23,1,1006000,1100114,JARU
24,1,1007000,1100122,JI-PARANÁ
25,1,1007200,1100130,MACHADINHO D'OESTE
26,1,1007300,1101203,MINISTRO ANDREAZZA
27,1,1007600,1101302,MIRANTE DA SERRA
28,1,1007700,1101401,MONTE NEGRO
29,1,1007800,1100148,NOVA BRASILÂNDIA D'OESTE
30,1,1007900,1100338,NOVA MAMORÉ
31,1,1007910,1101435,NOVA UNIÃO
32,1,1007920,1100502,NOVO HORIZONTE DO OESTE
33,1,1008000,1100155,OURO PRETO DO OESTE
34,1,1008500,1101450,PARECIS
35,1,1009000,1100189,PIMENTA BUENO
36,1,1009500,1101468,PIMENTEIRAS DO OESTE
37,1,1010000,1100205,PORTO VELHO
38,1,1010200,1100254,PRESIDENTE MÉDICI
39,1,1010250,1101476,PRIMAVERA DE RONDÔNIA
40,1,1010300,1100262,RIO CRESPO
41,1,1010400,1100288,ROLIM DE MOURA
42,1,1010600,1100296,SANTA LUZIA D'OESTE
43,1,1010700,1101484,SÃO FELIPE DO OESTE
44,1,1010750,1101492,SÃO FRANCISCO DO GUAPORÉ
45,1,1010800,1100320,SÃO MIGUEL DO GUAPORÉ
46,1,1012000,1101500,SERINGUEIRAS
47,1,1013000,1101559,TEIXEIRÓPOLIS
48,1,1014000,1101609,THEOBROMA
49,1,1016000,1101708,URUPÁ
50,1,1017000,1101757,VALE DO ANARI
51,1,1018000,1101807,VALE DO PARAÍSO
52,1,1020000,1100304,VILHENA
53,2,2000500,1200013,ACRELÂNDIA
54,2,2001000,1200054,ASSIS BRASIL
55,2,2002000,1200104,BRASILÉIA
56,2,2002400,1200138,BUJARI
57,2,2002800,1200179,CAPIXABA
58,2,2003000,1200203,CRUZEIRO DO SUL
59,2,2003400,1200252,EPITACIOLÂNDIA
60,2,2004000,1200302,FEIJÓ
61,2,2004400,1200328,JORDÃO
62,2,2005000,1200336,MÂNCIO LIMA
63,2,2006000,1200344,MANOEL URBANO
64,2,2006200,1200351,MARECHAL THAUMATURGO
65,2,2007000,1200385,PLÁCIDO DE CASTRO
66,2,2007400,1200807,PORTO ACRE
67,2,2007800,1200393,PORTO WALTER
68,2,2008000,1200401,RIO BRANCO
69,2,2008200,1200427,RODRIGUES ALVES
70,2,2008400,1200435,SANTA ROSA DO PURUS
71,2,2009000,1200450,SENADOR GUIOMARD
72,2,2010000,1200500,SENA MADUREIRA
73,2,2011000,1200609,TARAUACÁ
74,2,2012000,1200708,XAPURI
75,3,3000200,1300029,ALVARÃES
76,3,3000300,1300060,AMATURÁ
77,3,3000600,1300086,ANAMÃ
78,3,3001000,1300102,ANORI
79,3,3001500,1300144,APUÍ
80,3,3002000,1300201,ATALAIA DO NORTE
81,3,3003000,1300300,AUTAZES
82,3,3004000,1300409,BARCELOS
83,3,3005000,1300508,BARREIRINHA
84,3,3006000,1300607,BENJAMIN CONSTANT
85,3,3006200,1300631,BERURI
86,3,3006600,1300680,BOA VISTA DO RAMOS
87,3,3007000,1300706,BOCA DO ACRE
88,3,3008000,1300805,BORBA
89,3,3008200,1300839,CAAPIRANGA
90,3,3009000,1300904,CANUTAMA
91,3,3010000,1301001,CARAUARI
92,3,3011000,1301100,CAREIRO
93,3,3011200,1301159,CAREIRO DA VÁRZEA
94,3,3012000,1301209,COARI
95,3,3013000,1301308,CODAJÁS
96,3,3014000,1301407,EIRUNEPÉ
97,3,3015000,1301506,ENVIRA
98,3,3016000,1301605,FONTE BOA
99,3,3016400,1301654,GUAJARÁ
100,3,3017000,1301704,HUMAITÁ
101,3,3018000,1301803,IPIXUNA
102,3,3018400,1301852,IRANDUBA
103,3,3019000,1301902,ITACOATIARA
104,3,3019400,1301951,ITAMARATI
105,3,3020000,1302009,ITAPIRANGA
106,3,3021000,1302108,JAPURÁ
107,3,3022000,1302207,JURUÁ
108,3,3023000,1302306,JUTAÍ
109,3,3024000,1302405,LÁBREA
110,3,3025000,1302504,MANACAPURU
111,3,3025400,1302553,MANAQUIRI
112,3,3026000,1302603,MANAUS
113,3,3027000,1302702,MANICORÉ
114,3,3028000,1302801,MARAÃ
115,3,3029000,1302900,MAUÉS
116,3,3030000,1303007,NHAMUNDÁ
117,3,3031000,1303106,NOVA OLINDA DO NORTE
118,3,3032000,1303205,NOVO AIRÃO
119,3,3033000,1303304,NOVO ARIPUANÃ
120,3,3034000,1303403,PARINTINS
121,3,3035000,1303502,PAUINI
122,3,3035200,1303536,PRESIDENTE FIGUEIREDO
123,3,3035400,1303569,RIO PRETO DA EVA
124,3,3036000,1303601,SANTA IZABEL DO RIO NEGRO
125,3,3037000,1303700,SANTO ANTÔNIO DO IÇÁ
126,3,3038000,1303809,SÃO GABRIEL DA CACHOEIRA
127,3,3039000,1303908,SÃO PAULO DE OLIVENÇA
128,3,3039400,1303957,SÃO SEBASTIÃO DO UATUMÃ
129,3,3040000,1304005,SILVES
130,3,3041000,1304062,TABATINGA
131,3,3042000,1304104,TAPAUÁ
132,3,3043000,1304203,TEFÉ
133,3,3043400,1304237,TONANTINS
134,3,3044000,1304260,UARINI
135,3,3045000,1304302,URUCARÁ
136,3,3046000,1304401,URUCURITUBA
137,4,4000500,1400027,AMAJARI
138,4,4001000,1400050,ALTO ALEGRE
139,4,4002000,1400100,BOA VISTA
140,4,4003000,1400159,BONFIM
141,4,4003500,1400175,CANTA
142,4,4004000,1400209,CARACARAÍ
143,4,4004100,1400233,CAROEBE
144,4,4004300,1400282,IRACEMA
145,4,4004400,1400308,MUCAJAÍ
146,4,4005000,1400407,NORMÂNDIA
147,4,4005200,1400456,PACARAIMA
148,4,4005400,1400472,RORAINÓPOLIS
149,4,4006000,1400506,SÃO JOÃO DA BALIZA
150,4,4007000,1400605,SÃO LUIZ
151,4,4008000,1400704,UIRAMUTÃ
152,5,5001000,1500107,ABAETETUBA
153,5,5001500,1500131,ABEL FIGUEIREDO
154,5,5002000,1500206,ACARÁ
155,5,5003000,1500305,AFUÁ
156,5,5003500,1500347,ÁGUA AZUL DO NORTE
157,5,5004000,1500404,ALENQUER
158,5,5005000,1500503,ALMEIRIM
159,5,5006000,1500602,ALTAMIRA
160,5,5007000,1500701,ANAJÁS
161,5,5008000,1500800,ANANINDEUA
162,5,5008500,1500859,ANAPU
163,5,5009000,1500909,AUGUSTO CORRÊA
164,5,5009500,1500958,AURORA DO PARÁ
165,5,5010000,1501006,AVEIRO
166,5,5011000,1501105,BAGRE
167,5,5012000,1501204,BAIÃO
168,5,5012500,1501253,BANNACH
169,5,5013000,1501303,BARCARENA
170,5,5014000,1501402,BELÉM
171,5,5014500,1501451,BELTERRA
172,5,5015000,1501501,BENEVIDES
173,5,5015400,1501576,BOM JESUS DO TOCANTINS
174,5,5016000,1501600,BONITO
175,5,5017000,1501709,BRAGANÇA
176,5,5017200,1501725,BRASIL NOVO
177,5,5017400,1501758,BREJO GRANDE DO ARAGUAIA
178,5,5017700,1501782,BREU BRANCO
179,5,5018000,1501808,BREVES
180,5,5019000,1501907,BUJARU
181,5,5020000,1502004,CACHOEIRA DO ARARI
182,5,5020500,1501956,CACHOEIRA DO PIRIA
183,5,5021000,1502103,CAMETÁ
184,5,5021500,1502152,CANAÃ DOS CARAJÁS
185,5,5022000,1502202,CAPANEMA
186,5,5023000,1502301,CAPITÃO POÇO
187,5,5024000,1502400,CASTANHAL
188,5,5025000,1502509,CHAVES
189,5,5026000,1502608,COLARES
190,5,5027000,1502707,CONCEIÇÃO DO ARAGUAIA
191,5,5027200,1502756,CONCORDIA DO PARÁ
192,5,5027300,1502764,CUMARU DO NORTE
193,5,5027400,1502772,CURIONÓPOLIS
194,5,5028000,1502806,CURRALINHO
195,5,5028500,1502855,CURUÁ
196,5,5029000,1502905,CURUÇA
197,5,5029400,1502939,DOM ELISEU
198,5,5029600,1502954,ELDORADO DOS CARAJÁS
199,5,5030000,1503002,FARO
200,5,5030200,1503044,FLORESTA DO ARAGUAIA
201,5,5030400,1503077,GARRAFÃO DO NORTE
202,5,5030800,1503093,GOIANÊSIA DO PARÁ
203,5,5031000,1503101,GURUPÁ
204,5,5031500,1505106,IBIDOS
205,5,5032000,1503200,IGARAPÉ-AÇU
206,5,5033000,1503309,IGARAPÉ-MIRI
207,5,5034000,1503408,INHANGAPI
208,5,5034500,1503457,IPIXUNA DO PARÁ
209,5,5035000,1503507,IRITUIA
210,5,5036000,1503606,ITAITUBA
211,5,5037000,1503705,ITUPIRANGA
212,5,5037500,1503754,JACAREACANGA
