,BaciaCodigo,SubBaciaCodigo,Codigo,Nome
1,1,14,14260330,FURO MARACA
2,1,14,14261120,RIO OCONEI
3,1,14,14261200,RIO ÉRICO
4,1,14,14261210,IGARAPÉ AÇAÍ
5,1,14,14261500,IGARAPÉ PACA-SIBI
6,1,14,14262100,RIO TRAIDA
7,1,14,14262720,RIO ACARI
8,1,14,14262740,IGARAPÉ FLEXA
9,1,14,14262800,IGARAPÉ TIPIQUIRI
10,1,14,14262910,RIO CANARUANA
11,1,14,14263000,IGARAPÉ TRUARU
12,1,14,14263100,IGARAPÉ CHIRIRI
13,1,14,14263220,RIO TACUTU ESTE
14,1,14,14263300,RIO TIQUIRRE
15,1,14,14263400,RIO VAMUCUAU
16,1,14,14263420,IGARAPÉ MURUINA
17,1,14,14264110,IGARAPÉ ZAMIA
18,1,14,14264120,IGARAPÉ INFÂMIA
19,1,14,14264210,RIO PANARI
20,1,14,14264290,RIO QUINO
21,1,14,14264310,IGARAPÉ UAICUE
22,1,14,14264320,IGARAPÉ MAIUTZI
23,1,14,14264330,IGARAPÉ MARAUAI
24,1,14,14265110,IGARAPÉ PACOVAL
25,1,14,14265200,RIO AUAI GRANDE
26,1,14,14266300,IGARAPÉ BANHO
27,1,14,14266800,RIO IRAUE
28,1,14,14268450,IGARAPÉ MARARA
29,1,14,14268550,IGARAPÉ BOM JARDIM
30,1,14,14268700,IGARAPÉ DO NERI
31,1,14,14269500,PARANÃ ADAUAU
32,1,14,14271000,RIO JAUAPERI
33,1,14,14272520,IGARAPÉ CAMELÃO
34,1,14,14272700,RIO PAPAGAIO
35,1,14,14273100,RIO CAMANAU
36,1,14,14275100,RIO APUAU
37,1,14,14279000,RIO TARUMÃ-AÇU
38,1,15,15200000,RIO MADEIRA
39,1,15,15210000,RIO GUAPORÉ
40,1,15,15211000,CÓRREGO LAGOINHA
41,1,15,15211300,RIO GABRIEL ANTUNES
42,1,15,15211500,RIO DAS PEDRAS
43,1,15,15212000,RIO ALEGRE
44,1,15,15213010,CÓRREGO ATOLEIRO
45,1,15,15214010,CÓRREGO PINGUELA
46,1,15,15215020,RIBEIRÃO TERESINHA
47,1,15,15218230,RIO 17 DE FEVEREIRO
48,1,15,15220000,RIO SOTERIO
49,1,15,15221100,IGARAPÉ SÃO JOÃO
50,1,15,15221120,IGARAPÉ PICOLÉ
51,1,15,15223200,IGARAPÉ SÃO SIMÃO
52,1,15,15224000,RIO COTIA
53,1,15,15224100,RIO MUTUM-PARANA
54,1,15,15225500,RIO SÃO LOURENÇO
55,1,15,15226100,IGARAPÉ MAPARANA
56,1,15,15230200,IGARAPÉ BOM JARDIM
57,1,15,15230400,IGARAPÉ SANTA CRUZ
58,1,15,15230500,IGARAPÉ NOVA OLINDA
59,1,15,15230900,RIO MASSANGANA
60,1,15,15230920,IGARAPÉ BARREIRO
61,1,15,15231200,IGARAPÉ SÃO MARCOS
62,1,15,15231300,IGARAPÉ CAPIM
63,1,15,15232250,IGARAPÉ SÃO DOMINGOS
64,1,15,15232300,IGARAPÉ GRANDE
65,1,15,15233500,IGARAPÉ COLINAS
66,1,15,15240060,IGARAPÉ GUARANA
67,1,15,15240120,IGARAPÉ CANTINA
68,1,15,15240307,RIO ÁVILA
69,1,15,15240345,IGARAPÉ DO ENCONTRO
70,1,15,15240395,RIO LUIS D'ALINCOURT
71,1,15,15240405,CÓRREGO TRÊS DE NOVEMBRO
72,1,15,15240410,RIBEIRÃO DO CACAU
73,1,15,15240415,CÓRREGO PRIMAVERA
74,1,15,15240430,RIO CUMITAI
75,1,15,15240435,RIO APITA
76,1,15,15240460,IGARAPÉ NAZARÉ
77,1,15,15240504,RIO CUME TUQUE
78,1,15,15240508,RIO COUTO MAGALHÃES
79,1,15,15240546,RIO NOVO
80,1,15,15240574,IGARAPÉ ESPERANÇA
81,1,15,15240577,IGARAPÉ SÃO PAULO
82,1,15,15240598,RIO SÃO JOÃO
83,1,15,15240640,IGARAPÉ LIMÃOZINHO
84,1,15,15240700,IGARAPÉ URUA
85,1,15,15240800,RIO JACUNDÁ
86,1,15,15241050,IGARAPÉ JATOBÁ
87,1,15,15243000,IGARAPÉ JATURANA
88,1,15,15250100,RIO PRETO
89,1,15,15250350,IGARAPÉ DO ÍNDIO
90,1,15,15250370,IGARAPÉ DOS MACACOS
91,1,15,15250700,RIO JUQUI
92,1,15,15250800,RIO MAICI
